status,visibility,sku,store_view_code,attribute_set_code,product_type,product_websites,url_key,name,description,short_description,product_online,price,special_price,special_price_from_date,special_price_to_date,qty,is_in_stock,tax_class_id,categories,configurable_variation_labels,additional_attributes,configurable_variations
1,Not Visible Individually,A011375-PZ,,Default,simple,base,MARSUPIO-DOPPIA-TASCA-VERDE-MILITARE-A011375-PZ,MARSUPIO DOPPIA TASCA VERDE MILITARE,,,1,12.000000,0,1990-01-01,1990-01-01,10.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1370,sys_color_description=VERDE MILITARE,sys_color_hex=797d66,sys_modello=LX 10076BS 322,sys_size=PZ,gruppo_articoli=AC-ACCESSORI,variante=BS,campagna_acquisti=AI22,cod=LX 10076BS 322-C1370-PZ,sys_barcode=2100039236017",
1,"Catalog, Search",A011375,,Default,configurable,base,MARSUPIO-DOPPIA-TASCA-VERDE-MILITARE-A011375,MARSUPIO DOPPIA TASCA VERDE MILITARE,,,1,12.000000,0,1990-01-01,1990-01-01,10.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1370,sys_color_description=VERDE MILITARE,sys_color_hex=797d66,sys_modello=LX 10076BS 322,sys_size=PZ,gruppo_articoli=AC-ACCESSORI,variante=BS,campagna_acquisti=AI22,cod=LX 10076BS 322-C1370,sys_barcode=2100039236017","sku=A011375-PZ,sys_size=PZ"
1,Not Visible Individually,A011376-PZ,,Default,simple,base,MARSUPIO-DOPPIA-TASCA-G.CHIARO-A011376-PZ,MARSUPIO DOPPIA TASCA G.CHIARO,,,1,12.000000,0,1990-01-01,1990-01-01,10.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C2101,sys_color_description=G.CHIARO,sys_color_hex=dbdbdb,sys_modello=LX 10076BS 322,sys_size=PZ,gruppo_articoli=AC-ACCESSORI,variante=BS,campagna_acquisti=AI22,cod=LX 10076BS 322-C2101-PZ,sys_barcode=2100039237014",
1,"Catalog, Search",A011376,,Default,configurable,base,MARSUPIO-DOPPIA-TASCA-G.CHIARO-A011376,MARSUPIO DOPPIA TASCA G.CHIARO,,,1,12.000000,0,1990-01-01,1990-01-01,10.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C2101,sys_color_description=G.CHIARO,sys_color_hex=dbdbdb,sys_modello=LX 10076BS 322,sys_size=PZ,gruppo_articoli=AC-ACCESSORI,variante=BS,campagna_acquisti=AI22,cod=LX 10076BS 322-C2101,sys_barcode=2100039237014","sku=A011376-PZ,sys_size=PZ"
1,Not Visible Individually,A011377-PZ,,Default,simple,base,MARSUPIO-DOPPIA-TASCA-OCRA-A011377-PZ,MARSUPIO DOPPIA TASCA OCRA,,,1,12.000000,0,1990-01-01,1990-01-01,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1515,sys_color_description=OCRA,sys_color_hex=be9106,sys_modello=LX 10076BS 322,sys_size=PZ,gruppo_articoli=AC-ACCESSORI,variante=BS,campagna_acquisti=AI22,cod=LX 10076BS 322-C1515-PZ,sys_barcode=2100039238011",
1,"Catalog, Search",A011377,,Default,configurable,base,MARSUPIO-DOPPIA-TASCA-OCRA-A011377,MARSUPIO DOPPIA TASCA OCRA,,,1,12.000000,0,1990-01-01,1990-01-01,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1515,sys_color_description=OCRA,sys_color_hex=be9106,sys_modello=LX 10076BS 322,sys_size=PZ,gruppo_articoli=AC-ACCESSORI,variante=BS,campagna_acquisti=AI22,cod=LX 10076BS 322-C1515,sys_barcode=2100039238011","sku=A011377-PZ,sys_size=PZ"
1,Not Visible Individually,A011594-PZ,,Default,simple,base,MARSUPIO-DOPPIA-TASCA-ALBICOCCA-A011594-PZ,MARSUPIO DOPPIA TASCA ALBICOCCA,,,1,12.000000,0,1990-01-01,1990-01-01,10.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1533,sys_color_description=ALBICOCCA,sys_color_hex=fbab71,sys_modello=LX 10076BS 322,sys_size=PZ,gruppo_articoli=AC-ACCESSORI,variante=BS,campagna_acquisti=AI22,cod=LX 10076BS 322-C1533-PZ,sys_barcode=2100039455012",
1,"Catalog, Search",A011594,,Default,configurable,base,MARSUPIO-DOPPIA-TASCA-ALBICOCCA-A011594,MARSUPIO DOPPIA TASCA ALBICOCCA,,,1,12.000000,0,1990-01-01,1990-01-01,10.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1533,sys_color_description=ALBICOCCA,sys_color_hex=fbab71,sys_modello=LX 10076BS 322,sys_size=PZ,gruppo_articoli=AC-ACCESSORI,variante=BS,campagna_acquisti=AI22,cod=LX 10076BS 322-C1533,sys_barcode=2100039455012","sku=A011594-PZ,sys_size=PZ"
1,Not Visible Individually,A011464-IV,,Default,simple,base,CINTURA-CON-RICAMO-IN-PUNTA-MORO-A011464-IV,CINTURA CON RICAMO IN PUNTA MORO,,,1,10.000000,0,1990-01-01,1990-01-01,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1590,sys_color_description=MORO,sys_color_hex=261202,sys_modello=CP 10068CI 322,sys_size=IV,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI22,cod=CP 10068CI 322-C1590-IV,sys_barcode=2100039325049",
1,Not Visible Individually,A011464-II,,Default,simple,base,CINTURA-CON-RICAMO-IN-PUNTA-MORO-A011464-II,CINTURA CON RICAMO IN PUNTA MORO,,,1,10.000000,0,1990-01-01,1990-01-01,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1590,sys_color_description=MORO,sys_color_hex=261202,sys_modello=CP 10068CI 322,sys_size=II,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI22,cod=CP 10068CI 322-C1590-II,sys_barcode=2100039325025",
